File Name,Keywords,Type,Content
Test File 10.docx,date,Heading,"LIBOR Interest Period means the period commencing on the date a Loan bearing interest at the LIBOR Rate is made, continued, or converted and continuing overnight, with successive periods commencing daily thereafter.

LIBOR Margin means two and three quarters percent percent (2.75%) per annum.

LIBOR Rate means the average rate per annum calculated by Lender in good faith, which Lender determines with reference to the rate per annum (rounded upwards to the next higher whole multiple of 1/16th if such rate is not such a multiple) as shown in Reuters at which deposits in United States dollars are offered by prime banks in the London interbank eurodollar market two LIBOR Business Days prior to the day on which such rate is calculated by Lender, in an amount approximately equal to the amount of such advance and with a maturity equal to the applicable LIBOR Interest Period. In the event that the LIBOR Rate is determined to be less than zero, such LIBOR Rate shall be deemed to be zero for purposes of this Note. If Reuters no longer reports such rate or Lender determines in good faith that the rate so reported no longer accurately reflects the rate available to Lender in the London Interbank Market, Lender may select a replacement index, but under no circumstances shall the LIBOR Rate be less than zero percent (0%).

Prime Rate means the rate per annum from time to time established by Lender as Lenders Prime Rate, whether or not such rate is publicly announced. The Prime Rate may not be the lowest interest rate charged by Lender for commercial or other extensions of credit. In the event of any change in the Prime Rate, the rate of interest applicable to Borrowers Loans evidenced hereby shall be adjusted to immediately correspond with each such change.

Reserve Percentage means for any LIBOR Interest Period, the maximum reserve percentage which is specified by the Board of Governors of the Federal Reserve System (or any successor) or any other governmental or quasi-governmental authority with jurisdiction over Lender for determining the maximum reserve requirement (including, but not limited to, any basic, supplemental, special, marginal, or emergency reserve requirement) for Lender with respect to liabilities or assets constituting or including (among other liabilities) Eurocurrency liabilities (as defined in Regulation D of the Board of Governors of the Federal Reserve System) in an amount equal to that of the advances affected by such LIBOR Interest Period and with a maturity equal to the LIBOR Interest Period.

(b) Borrower may exercise the LIBOR Rate Option by giving Lender irrevocable written notice of such exercise on the second LIBOR Business Day prior to the proposed commencement of the relevant LIBOR Interest Period. The Loan will bear interest at the Adjusted LIBOR Rate for consecutive LIBOR Interest Periods until a different election is made. Borrower may only request advances bearing interest at the Adjusted LIBOR Rate in amounts equal to or in excess of $100,000.00 unless otherwise agreed by Lender.

(c) If, because of the introduction of or any change in, or because of any judicial, administrative or other governmental interpretation of, any law or regulation, there shall be any increase in the cost to Lender of making, funding, maintaining, or allocating capital to any advance bearing interest at the Adjusted LIBOR Rate, including a change in the Reserve Percentage, then Borrower shall, from time to time upon demand by Lender, pay to Lender additional amounts sufficient to compensate Lender for such increased cost, and the determination by Lender shall be conclusive absent obvious error and shall be payable by Borrower to Lender upon Lenders demand.

(d) If Lender determines (which determination shall be conclusive and binding upon Borrower, absent manifest error) that (i) dollar deposits in an amount approximately equal to the portion of the advances for which Borrower has exercised the LIBOR Rate Option for the designated LIBOR Interest Period are not generally available at such time in the London Interbank Market for deposits in dollars, (ii) the rate at which such deposits are being offered will not adequately and fairly reflect the cost to Lender of maintaining an Adjusted LIBOR Rate on such portion of the advances or of funding the same for such LIBOR Interest Period due to circumstances affecting the London Interbank Market generally, (iii) reasonable means do not exist for ascertaining an Adjusted LIBOR Rate, or (iv) an Adjusted LIBOR Rate would be in excess of the maximum interest rate which Borrower may by law pay, then, in any such event, Lender shall so notify Borrower and all portions of the advances bearing interest at an Adjusted LIBOR Rate that are so affected shall, as of the date of such notification with respect to any event described in item (ii) or (iv) above, or as of the expiration of the applicable LIBOR Interest Period with respect to an event described in item (i) or (iii) above, bear interest at the Adjusted Prime Rate until such time as the situations described herein are no longer in effect.

(e) If, because of the introduction of or any change in, or because of any judicial, administrative or other governmental interpretation of, any law or regulation, it becomes unlawful for Lender to make, fund, or maintain any Loan at the Adjusted LIBOR Rate, then (i) Lender shall notify Borrower that Lender is no longer able to maintain the interest rate at an Adjusted LIBOR Rate, (ii) the LIBOR Rate Option shall immediately terminate, and (iii) the interest rate for any portion of the Loans for which the interest rate is then an Adjusted LIBOR Rate shall automatically be converted to the Adjusted Prime Rate. Thereafter, all advances under this Note shall bear interest at the Adjusted Prime Rate until such time as the situation described herein is no longer in effect.

(f) All computations of interest and unpaid fees shall be made on the basis of a 360-day year and paid for the actual number of days of each year elapsed; that is, by multiplying the outstanding principal balance by the applicable interest rate, dividing by 360 days, and multiplying by the actual number of days the principal balance is outstanding. This method of computation results in a higher interest yield to Lender than if a 365-day year were used.

(g) If pursuant to the terms of this Note, Borrower is at any time obligated to pay interest on the principal balance of this Note at a rate in excess of the maximum interest rate permitted by applicable law, the applicable interest rate shall be immediately reduced to such maximum rate and all previous payments in excess of the maximum rate shall be deemed to have been payments in reduction of principal and not on account of the interest due hereunder and Borrower and any guarantor shall not have any action against Lender for any damages arising out of the payment or collection of excess interest or charges.


(h) Lender shall not be required to notify Borrower of any adjustment in the LIBOR Rate; however, Borrower may request a quote of the prevailing LIBOR Rate on any Business Day."
Test File 10.docx,date,Within content,"Except as otherwise set forth herein, if any payment comes due on a day that is not a Business Day, Borrower may make the payment on the first Business Day following the payment date and pay the additional interest accrued to the date of payment."
Test File 10.docx,date,Within content,"(a)Late Payment Fee. If any payment due under this Note is not made within ten (10) days after its due date, Borrower shall pay, in addition to any other sums due under this Note (and without limiting Lenders other remedies on account thereof), a late fee in an amount equal to the greater of five percent (5%) of the amount unpaid or $25.00."
Test File 10.docx,date,Heading,"(b)Annual Fee. On the date of this Note and on each aniversary of closing, Borrower shall pay a fee on the actual daily unborrowed portion of Borrowers line of credit hereunder as determnied by Lender, at the rate of one percent (1.00%) per annum (using a day rate based upon a year of 360 days and charged for the actual numer of days elapsed).

7. DEMAND NOTE. This Note is payable upon demand, whether or not there is a default. Borrower understands and agrees that Lender is authorized to make an annual (or more frequent) credit review of Borrower based on Borrowers current financial condition. Nevertheless, Lender may, at any time, with or without cause, refuse to advance funds or extend credit under this Note. The Borrower agrees to pay, upon demand, costs of collection of all amounts under this Note including, without limitation, principal and interest, or in connection with the enforcement of, or realization on, any security for this Note, including, without limitation, to the extent permitted by applicable law, reasonable attorneys fees and expenses.

8. USE OF PROCEEDS. Any Loan made by Lender to Borrower and evidenced by this Note shall be used by Borrower for working capital purposes.

9. COLLATERAL. Borrower has secured this Note by providing a security interest in its assets.

10. SETOFF. To the fullest extent permitted by law, if the unpaid principal amount of this Note, interest accrued on the unpaid principal amount thereof or other amount owing by Borrower under this Note or the other Loan Documents shall have become due and payable (upon demand, by acceleration or otherwise), Lender will have the right, in addition to all other rights and remedies available to it, without notice to Borrower, to setoff against and to appropriate and apply to such due and payable amounts any obligations owing to, and any other funds held in any manner for the account of, Borrower by Lender or any third party acting on Lenders behalf (Bank Affiliate), including, without limitation, all cash, securities, instruments or other property of Borrower in the possession of Lender or any Bank Affiliate, whether for safekeeping or otherwise, or in the transit to or from Lender or any Bank Affiliate (regardless of the reason Lender or Bank Affiliate had received the same or whether Lender or Bank Affiliate has conditionally released the same). Such deposits and other sums may be applied or set off against such liabilities and obligations of Borrower to Lender or any Bank Affiliate at any time. Borrower consents to and confirms the foregoing arrangements and confirms the rights of bankers lien and setoff. Nothing in this Note will be deemed a waiver or prohibition of or restriction on such rights of bankers lien or setoff.


11. PAYMENT OF FEES AND EXPENSES.

(a) Upon execution of this Note, Borrower shall pay Lender all reasonable fees and charges for the preparation, negotiation and closing of this Note and all other related Loan Documents including, without limitation, counsel fees and expenses (whether outside or internal), and all other fees due hereunder or under the Loan Documents. In addition, Borrower shall pay such administrative fees as Lender may charge from time to time and all other costs incidental to making the Loan or in connection with the Loan, including, without limitation, expenses for lien searches, filing fees, taxes and costs and expenses in connection with the preparation of any amendments, modifications or renewals.

(b) Borrower agrees to pay, upon demand, costs of collection of all amounts due under this Note, including, without limitation, principal, interest and fees, or in connection with the enforcement of, or realization on, any security for this Note, including, without limitation, to the extent permitted by applicable law, reasonable attorneys fees and expenses (which may include costs of internal or outside counsel).

12. GOVERNING LAW. This Note shall be interpreted and the rights and liabilities of the parties shall be governed by the laws of the Commonwealth of Pennsylvania, without regard to principles of the conflict of laws. This Note has been delivered to and accepted by Lender and will be deemed to be made in the Commonwealth of Pennsylvania and any applicable federal law. Time is of the essence in the payment of this Note.

13. GENERAL PROVISIONS.

(a)Borrower Waiver. Borrower waives presentment, demand, notice, protest and all other demands and notices in connection with delivery, acceptance, performance or enforcement of this Note.

(b)	Amendments. Any amendment hereof must be in writing and signed by the party against whom enforcement is sought."
Test File 9.docx,Date,Within content,"ESCROW AGREEMENT (the Agreement) executed this 12th day of March, 2018 (Effective Date) by and among LBM HOLDINGS LLC, a Pennsylvania limited liability company (Secured Party), THE EXONE COMPANY, a Delaware corporation (ExOne), and THE HUNTINGTON NATIONAL BANK, a national banking association, as escrow agent (Escrow Agent). Secured Party, Depositor and Escrow Agent are sometimes collectively referred to herein as, the Parties."
Test File 9.docx,date,Within content,"WHEREAS, Secured Party and ExOne seek to appoint Escrow Agent to receive and hold certain funds to be loaned by the Secured Party to ExOne pursuant to that certain Credit Agreement dated March 12, 2018 by and between Secured Party and ExOne (the Credit Agreement); and"
Test File 9.docx,date,Within content," 3.INVESTMENT AND MAINTENANCE OF ESCROW FUND.Escrow Agent shall invest and reinvest the Escrow Funds in the Federated Treasury Obligations Fund (Cusip #60934N872) until such time an authorized representative of the Secured Party shall instruct the Escrow Agent in writing, to have the Escrow Funds deposited in another Qualified Investment. During the term of this Agreement Escrow Agent shall provide Secured Party with written monthly statements containing the beginning balance of the Escrow Funds, as well as all principal and income transactions for the statement period. Escrow Agent is authorized and directed to liquidate any and all investments in whole or in part making up the Escrow Funds as it deems necessary to make any and all payments or distributions required under this Agreement. The investment earnings shall not become part of the Escrow Funds, but shall instead be paid by wire transfer directly to the Secured Party in arrears on the 2nd business day of each month during the term of this Agreement. All amounts transferred to the Secured Party pursuant to this Section 3 shall be wired to the Secured Lender using the wiring instructions provided in writing to the Escrow Agent by the Secured Party. All investment losses shall be charged against the Escrow Funds. Escrow Agent shall not be liable or responsible for loss in the value of any investment made pursuant to this Agreement, or for any loss, cost or penalty resulting from any sale or liquidation of the Escrow Funds. With respect to any Escrow Funds received by Escrow Agent after ten oclock, a.m., Columbus, Ohio, time, Escrow Agent shall not be required to invest such funds or to effect any investment instruction until the next day upon which banks in Columbus, Ohio are open for business. In the event that any or all of the Escrow Funds is of the type which cannot be invested, or Secured Party expressly request in writing that the Escrow Funds not be invested, Escrow Agent shall hold and maintain the Escrow Funds in the Escrow Account."
Test File 9.docx,date,Within content," 5.LIABILITY OF ESCROW AGENT.Escrow Agent shall not be liable for any action taken or omitted by it in good faith, including, but not limited to any loss to the Escrow Funds resulting from the investment(s) or any loss resulting from the liquidation of any investment(s) prior to such investments maturity date for the purpose of making required disbursements under this Agreement, except to the extent that a court of competent jurisdiction determines that Escrow Agents gross negligence or willful misconduct directly caused any loss to ExOne or Secured Party. Escrow Agent may rely upon any notice, instruction, request or other instrument delivered by ExOne or Secured Party, not only as to its due execution, validity and effectiveness, but also as to the truth and accuracy of any information contained therein, which Escrow Agent shall believe to be genuine and to have been signed or presented by the person or parties purporting to sign the same. Escrow Agent shall have no implied duties or obligations and shall not be charged with knowledge or notice of any fact or circumstance not specifically set forth herein. In no event shall Escrow Agent be liable for incidental, indirect, special, consequential or punitive damages (including, but not limited to lost profits), even if Escrow Agent has been advised of the likelihood of such loss or damage and regardless of the form of action. Escrow Agent shall not be obligated to take any legal action or commence any proceeding in connection with the Escrow Funds, any account in which Escrow Funds are deposited, this Agreement or the Credit Agreement, or to appear in, prosecute or defend any such legal action or proceeding."
Test File 9.docx,date,Within content," 6.RIGHTS AND DUTIES OF ESCROW AGENT.This Agreement shall represent the entire understanding of the Parties, and Escrow Agent shall only be required to perform the duties expressly described herein, and no further duties shall be implied from this Agreement or any other written or oral agreement by and between Escrow Agent, ExOne and Secured Party made previous or subsequent to this Agreement, unless such written amendment to this Agreement is executed by all Parties hereto and makes specific reference to this Agreement. Escrow Agent's sole responsibility shall be for the safekeeping and disbursement of the Escrow Funds in accordance with the terms of this Agreement. Escrow Agent may rely upon any written instructions believed in good faith to be genuine when signed and presented by the requesting party and shall not have a duty to inquire or investigate the validity, truth and/or accuracy of any such written instruction. Escrow Agent shall not be required to solicit funds from either ExOne or Secured Party in connection with this Agreement. Escrow Agent shall be permitted to execute any and all powers under this Agreement directly or through its agents and/or attorneys, and shall be allowed to seek counsel from any professional regarding the construction or performance of this Agreement, or relating to any dispute involving any party hereto, which professionals shall be selected at the sole discretion of Escrow Agent. Escrow Agent shall incur no liability and shall be fully indemnified from any liability whatsoever in acting in accordance with the opinion or instruction of such professionals. ExOne shall promptly pay, upon demand, the reasonable fees and expenses of any such professionals. Notwithstanding the foregoing, should Escrow Agent become uncertain as to its duties under this Agreement, it shall be permitted to (a) immediately suspend the performance of any obligations (including without limitation any disbursement obligations) under this Agreement until such uncertainty shall be resolved to the sole satisfaction of Escrow Agent or until such duties are expressly defined in a joint writing by the Parties, and shall only be required to protect and keep the Escrow Funds in their current investment(s) until such time as a written agreement among the Parties is executed or a court of competent jurisdiction shall render an order directing further action, or (b) petition (by means of an interpleader action or any other appropriate method) any court of competent jurisdiction in any venue convenient to Escrow Agent, for instructions with respect to such dispute or uncertainty, and to the extent required or permitted by law, pay into such court, for holding and disposition in accordance with the instructions of such court, all Escrow Funds, after deduction and payment to Escrow Agent of all fees and expenses (including court costs and reasonable attorneys' fees) payable to, incurred by, or expected to be incurred by Escrow Agent in connection with the performance of its duties and the exercise of its rights hereunder. Escrow Agent shall have no liability to ExOne, Secured Party, their respective shareholders or members, as applicable, or any other person with respect to any such suspension of performance or disbursement into court, specifically including any liability or claimed liability that may arise, or be alleged to have arisen, out of or as a result of any delay in the disbursement of the Escrow Funds or any delay in or with respect to any other action required or requested of Escrow Agent. Upon release and disbursement of the Escrow Funds as set forth in Exhibit A hereto, Escrow Agent shall be fully released from any and all further obligations, except for the provision of written notice to each of the other Parties, setting forth in such notice the date of release of the Escrow Funds, the party to whom the Escrow Funds were disbursed and the amount disbursed, such notification to be in the form of Escrow Agents final monthly statement. Upon the release and disbursement of the Escrow Funds and the delivery of the above referenced notification, Escrow Agent shall be released from any and all duties and obligations with respect to this Agreement and each of the Parties hereto."
Test File 9.docx,date,Within content,"12.INDEMNIFICATION OF ESCROW AGENT.From and at all times after the date of this Agreement, ExOne shall, to the fullest extent permitted by law, defend, indemnify and hold harmless Escrow Agent and each director, officer, employee, attorney, agent and affiliate of Escrow Agent (collectively, the Indemnified Parties) from and against any and all actions, claims (whether or not valid), losses, damages, liabilities, costs and expenses of any kind or nature whatsoever (including without limitation reasonable attorneys' fees, costs and expenses) incurred by or asserted against any of the Indemnified Parties from and after the date hereof, whether direct, indirect or consequential, as a result of or arising from or in any way relating to any claim, demand, suit, action or proceeding (including any inquiry or investigation) by any person, including without limitation ExOne or Secured Party, whether threatened or initiated, asserting a claim for any legal or equitable remedy against any person under any statute or regulation, including, but not limited to, any federal or state securities laws, or under any common law or equitable cause or otherwise, arising from or in connection with the negotiation, preparation, execution, performance or failure of performance of this Escrow Agreement or any transactions contemplated herein, whether or not any such Indemnified Party is a party to any such action, proceeding, suit or the target of any such inquiry or investigation; provided, however, that no Indemnified Party shall have the right to be indemnified hereunder for any liability finally determined by a court of competent jurisdiction, subject to no further appeal, to have resulted solely from the gross negligence or willful misconduct of such Indemnified Party. Each Indemnified Party shall, in its sole discretion, have the right to select and employ separate counsel with respect to any action or claim brought or asserted against it, and the reasonable fees of such counsel shall be paid upon demand by ExOne. The obligations of ExOne under this Section 11 shall survive any termination of this Agreement and the resignation or removal of Escrow Agent.."
