File Name,Keywords,Content
10_collateral_documents_4_break_line+footer.docx,Collateral Documents,"COLLATERAL DOCUMENTS
Dated as of October 24, 2012
Re:
Note Purchase Agreement dated as of November 1, 2010, as heretofore amended
Senior Secured Guaranteed Notes due June 1, 2017
and
Collateral Documents
 
 
 

TABLE OF CONTENTS
(Not a part of this Omnibus Third Amendment, Supplement and Joinder to Note Purchase
Agreement and Collateral Documents)
 
 


"
10_collateral_documents_4_break_line+footer.docx,Collateral Documents,AND COLLATERAL DOCUMENTS
10_collateral_documents_4_break_line+footer.docx,Collateral Documents,Collateral Documents
10_collateral_documents_4_break_line+footer.docx,Collateral Documents,"This Omnibus Third Amendment, Supplement and Joinder to Note Purchase Agreement and Collateral Documents (this “Amendment”) is made as of October 24, 2012, by and among Northeast Ohio Natural Gas Corp., an Ohio corporation (“NEO”), Orwell Natural Gas Company, an Ohio corporation (“Orwell”), Brainard Gas Corp., an Ohio corporation (“Brainard”; Brainard, NEO and Orwell are referred to herein, collectively, as the “Issuers” and, individually, as an “Issuer”), Great Plains Natural Gas Company, an Ohio corporation (“Great Plains”), Lightning Pipeline Company, Inc., an Ohio corporation (“Lightning”), Spelman Pipeline Holdings, LLC, an Ohio limited liability company (“Spelman”), Kidron Pipeline, LLC, an Ohio limited liability company (“Kidron”), Gas Natural Service Company, LLC, an Ohio limited liability company (“Service Company”), Gas Natural Inc., an Ohio corporation (the “Parent”; the Parent, Great Plains, Lightning, Spelman, Kidron and Service Company are referred to herein, collectively, as the “Existing Guarantors” and, individually, as an “Existing Guarantor”), Independence Oil, L.L.C., a North Carolina limited liability company (“Independence”), Independence Oil Real Estate 1, L.L.C., a North Carolina limited liability company (“Independence RE 1”), Independence Oil Real Estate 2, L.L.C., a North Carolina limited liability company (“Independence RE 2”), Independence Oil Real Estate 3, L.L.C., a North Carolina limited liability company (“Independence RE 3”; Independence RE 3, Independence RE 2, Independence RE 1 and Independence are referred to herein, collectively, as the “New Guarantors” and, individually, as a “New Guarantor”; and the New Guarantors and the Existing Guarantors are referred to herein, collectively, as the “2011 Notes Guarantors” and, individually, as a “2011 Notes Guarantor”; and all of the 2011 Notes Guarantors, other than Spelman, are referred to herein, collectively, as the “2012 Notes Guarantors” and, individually, as a “2012 Notes Guarantor”), and Sun Life Assurance Company of Canada (the “Purchaser”)."
10_collateral_documents_4_break_line+footer.docx,Collateral Documents,"B. In order to induce the Purchaser to enter into the Current Note Purchase Agreement and the other Financing Agreements and to induce the Purchaser to purchase the Series 2011 Notes, each Issuer and each Existing Guarantor agreed to grant a continuing Lien on its Collateral to secure the Obligations owing to the Purchaser under the Current Note Purchase Agreement, the Series 2011 Notes and the other Financing Agreements and, in connection therewith, each Issuer and each Existing Guarantor, as applicable, executed and delivered to the Purchaser (i) that certain Security Agreement, dated as of May 3, 2011 (the “Current Security Agreement”), (ii) that certain Pledge Agreement, dated as of May 3, 2011 (the “Current Pledge Agreement”), (iii) those certain Mortgages, each dated May 3, 2011 (collectively, the “Current Mortgages”), and (iv) certain other Collateral Documents, each dated on or about May 3, 2011 (such Collateral Documents together with the Current Security Agreement, the Current Pledge Agreement and the Current Mortgages, the “Current Collateral Documents”; and, the Current Collateral Documents, as hereby amended by this Amendment, and as from time to time further amended, restated, supplemented or otherwise modified, the “Collateral Documents”)."
10_collateral_documents_4_break_line+footer.docx,Collateral Documents,"C. The Issuers desire to issue and sell to the Purchaser an additional $2,989,552 aggregate principal amount of their Senior Secured Guaranteed Notes due June 1, 2017 (the “Series 2012 Notes”) pursuant to an amendment and supplement to the Current Note Purchase Agreement, and the Issuers and Existing Guarantors desire to amend the Current Note Purchase Agreement and the Current Collateral Documents to permit the issuance of the Series 2012 Notes and ensure the Series 2012 Notes are secured on a pari passu basis with the Series 2011 Notes and are otherwise subject to the same terms and conditions as the Series 2011 Notes."
10_collateral_documents_4_break_line+footer.docx,Collateral Documents,"D. The Purchaser has agreed to purchase the Series 2012 Notes pursuant to an amendment and supplement to the Current Note Purchase Agreement and to amend the Current Note Purchase Agreement and the Current Collateral Documents, all on the terms and conditions set forth herein."
10_collateral_documents_4_break_line+footer.docx,Collateral Documents,"E. Since the date of the Current Note Purchase Agreement the New Guarantors have become Subsidiaries of the Parent and, pursuant to the terms of Section 9.8 of the Current Note Purchase Agreement, are required to accede to the Current Note Purchase Agreement and the Current Collateral Documents. This Amendment provides for the New Guarantors’ accession to each of the Current Note Purchase Agreement and the Current Collateral Documents and their assumption of the obligations thereunder."
10_collateral_documents_4_break_line+footer.docx,Collateral Documents,"In consideration of the recitals and the mutual covenants herein contained and other good and valuable consideration, the receipt and sufficiency of which are hereby acknowledged, the parties hereto hereby agree that the Current Note Purchase Agreement (including all Schedules and Exhibits thereto) and the Current Collateral Documents shall be amended as of the date hereof as follows:"
10_collateral_documents_4_break_line+footer.docx,Collateral Documents,"Notwithstanding the requirement to promptly comply with this Section 9.8, solely with respect to Independence Oil, L.L.C., a North Carolina limited liability company (the “New Subsidiary”), the Obligors shall be deemed to have timely complied with this Section 9.8 if, on or prior to the date of the Omnibus Amendment, the New Subsidiary either (i) accedes to this Agreement and the Collateral Documents in accordance with the first sentence of this Section 9.8 or (ii) provide evidence detailing such Subsidiary’s inability to accede to this Agreement and the Collateral Documents in accordance with the second and third sentences of this Section 9.8."
